accident_name,location,date,region_category
고양 백석역 열수송관 파열,경기도 고양시 백석역 인근,2018-12-04,Gyeonggi
안양·군포 대규모 파열 사고,경기도 안양 범계역 및 군포 일대,2025-10-27,Gyeonggi
서울 목동 온수관 파열,서울특별시 양천구 목동,2018-12-11,Seoul
서현역 인근 열수송관 누수,성남시 분당구 서현역인근,2018-02-22,Bundang
이매동 방아다리 사거리 열수송관 파손,성남시 분당구 이매동 사거리,2018-03-20,Bundang
정자동 열수송관 파열,성남시 분당구 정자동 인근,2019-12-15,Bundang
서울 온수배관 파열 일부 온수공급 중단,서울 노원구·중랑구 일부 지역,2023-01-06,Seoul
서울시 노원구 하계동 열수송관 파손,서울시 노원구 하계동 아파트,2018-01-24,Seoul
안양시 동안구 인근 온수 배관 파열,경기 안양시 동안구 평촌동,2024-07-22,Gyeonggi
서울 노원 인근 열수송관 누수,서울 노원구 화랑대역 묵동천 인근,2023-01-06,Seoul
서울 노원 상계동 열수송관 파손,서울 노원구 상계동 청원초 앞 삼거리,2022-12-05,Seoul
